City	Climate_Type	Climate_Desc
茂名	亚热带湿润气候	冬暖夏热
江门	亚热带湿润气候	冬暖夏热
株洲	亚热带湿润气候	四季分明
湘潭	亚热带湿润气候	四季分明
常德	亚热带湿润气候	四季分明
宜宾	亚热带湿润气候	四季分明
十堰	亚热带湿润气候	四季分明
Chiang Mai	热带气候	全年炎热
Bandung	热带气候	全年炎热
Hanoi	亚热带湿润气候	冬暖夏热
Ho Chi Minh City	热带气候	全年炎热
Da Nang	热带气候	全年炎热
Istanbul	亚热带湿润气候	四季分明
Porto	温带海洋性气候	四季如春
Kuala Lumpur	热带气候	全年炎热
Bangkok	热带气候	全年炎热
Bali (Denpasar)	热带气候	全年炎热
Chengdu	亚热带湿润气候	四季分明
Daegu	温带大陆性气候	冬冷夏热
Daejeon	温带大陆性气候	冬冷夏热
Gwangju	温带大陆性气候	冬冷夏热
Jeonju	温带大陆性气候	冬冷夏热
Chuncheon	温带大陆性气候	冬冷夏热
Yeosu	亚热带湿润气候	四季分明
Nagasaki	亚热带湿润气候	四季分明
Nara	亚热带湿润气候	四季分明
Okayama	亚热带湿润气候	四季分明
Adelaide	亚热带湿润气候	冬暖夏热
Brisbane	亚热带湿润气候	冬暖夏热
Perth	亚热带湿润气候	冬暖夏热
Berlin	温带海洋性气候	全年凉爽
Hamburg	温带海洋性气候	全年凉爽
Lisbon	亚热带湿润气候	冬暖夏热
Edinburgh	温带海洋性气候	全年凉爽
Düsseldorf	温带海洋性气候	全年凉爽
Valencia	亚热带湿润气候	冬暖夏热
Wellington	温带海洋性气候	四季如春
Denver	温带大陆性气候	冬冷夏热
Portland	亚热带湿润气候	四季分明
Atlanta	亚热带湿润气候	四季分明
Houston	亚热带湿润气候	四季分明
Taipei	亚热带湿润气候	冬暖夏热
Shanghai	亚热带湿润气候	四季分明
Busan	亚热带湿润气候	四季分明
Incheon	温带大陆性气候	冬冷夏热
Jeju Island	亚热带湿润气候	四季分明
Nagoya	亚热带湿润气候	四季分明
Sapporo	温带大陆性气候	冬冷夏热
Fukuoka	亚热带湿润气候	四季分明
Copenhagen	温带海洋性气候	全年凉爽
Vienna	温带大陆性气候	冬冷夏热
Osaka	亚热带湿润气候	四季分明
Auckland	温带海洋性气候	四季如春
Vancouver	温带海洋性气候	四季如春
Luxembourg City	温带海洋性气候	全年凉爽
Toronto	温带大陆性气候	冬冷夏热
Tokyo	亚热带湿润气候	四季分明
Amsterdam	温带海洋性气候	四季如春
Munich	温带海洋性气候	全年凉爽
Stockholm	温带海洋性气候	全年凉爽
Dublin	温带海洋性气候	四季如春
Frankfurt	亚热带湿润气候	四季分明
Madrid	亚热带湿润气候	四季分明
Barcelona	亚热带湿润气候	冬暖夏热
Milan	亚热带湿润气候	四季分明
Rome	亚热带湿润气候	四季分明
Seattle	温带海洋性气候	全年凉爽
Washington D.C.	温带大陆性气候	冬冷夏热
The Hague	温带海洋性气候	四季如春
Kyoto	亚热带湿润气候	四季分明
Boston	温带大陆性气候	冬冷夏热
Honolulu	热带气候	全年炎热
Seoul	温带大陆性气候	冬冷夏热
Miami	热带气候	冬暖夏热
Kobe	亚热带湿润气候	四季分明
Singapore	热带气候	全年炎热
